Default parameters used: n=100, M=5, Msig=1, nk=500, u0=5, p=0.25

To use your own parameters, use as:
python Assignment_6.py n M nk u0 p
(Note that all parameters must be entered)

For more information, use python Assignment_6 help
Intensity data:
  xpos    count
------  -------
   0.5        0
   1.5        0
   2.5        0
   3.5        0
   4.5        0
   5.5        0
   6.5        0
   7.5        0
   8.5        0
   9.5      136
  10.5      119
  11.5      128
  12.5      145
  13.5      102
  14.5       75
  15.5       74
  16.5       46
  17.5       79
  18.5       97
  19.5       85
  20.5       76
  21.5       74
  22.5       85
  23.5       83
  24.5       86
  25.5       79
  26.5       78
  27.5       66
  28.5       80
  29.5       75
  30.5       75
  31.5       65
  32.5       84
  33.5       74
  34.5       83
  35.5       74
  36.5       70
  37.5       68
  38.5       77
  39.5       79
  40.5       60
  41.5       73
  42.5       58
  43.5       56
  44.5       79
  45.5       81
  46.5       77
  47.5       73
  48.5       68
  49.5       83
  50.5       56
  51.5       88
  52.5       66
  53.5       69
  54.5       74
  55.5       57
  56.5       65
  57.5       57
  58.5       67
  59.5       83
  60.5       54
  61.5       78
  62.5       71
  63.5       66
  64.5       74
  65.5       61
  66.5       42
  67.5       69
  68.5       66
  69.5       84
  70.5       69
  71.5       69
  72.5       60
  73.5       62
  74.5       66
  75.5       75
  76.5       70
  77.5       68
  78.5       74
  79.5       65
  80.5       76
  81.5       77
  82.5       58
  83.5       82
  84.5       77
  85.5       66
  86.5       59
  87.5       67
  88.5       69
  89.5       61
  90.5       57
  91.5       73
  92.5       55
  93.5       58
  94.5       43
  95.5       50
  96.5       42
  97.5       26
  98.5       18
  99.5        8
Intensity data:
  xpos    count
------  -------
   0.5        0
   1.5        0
   2.5        0
   3.5        0
   4.5        0
   5.5        0
   6.5        0
   7.5        0
   8.5        0
   9.5       91
  10.5      130
  11.5      141
  12.5      127
  13.5       56
  14.5       97
  15.5      103
  16.5       92
  17.5       78
  18.5       65
  19.5       33
  20.5       57
  21.5       48
  22.5       95
  23.5       83
  24.5       69
  25.5       43
  26.5       52
  27.5       69
  28.5       85
  29.5       65
  30.5       72
  31.5       50
  32.5       66
  33.5       57
  34.5       76
  35.5       64
  36.5       84
  37.5       57
  38.5       67
  39.5       68
  40.5       73
  41.5       63
  42.5       68
  43.5       48
  44.5       62
  45.5       68
  46.5       59
  47.5       61
  48.5       79
  49.5       55
  50.5       65
  51.5       53
  52.5       58
  53.5       63
  54.5       68
  55.5       59
  56.5       67
  57.5       59
  58.5       67
  59.5       60
  60.5       56
  61.5       71
  62.5       45
  63.5       59
  64.5       77
  65.5       59
  66.5       70
  67.5       63
  68.5       69
  69.5       60
  70.5       52
  71.5       67
  72.5       66
  73.5       60
  74.5       66
  75.5       68
  76.5       54
  77.5       55
  78.5       59
  79.5       62
  80.5       66
  81.5       67
  82.5       53
  83.5       61
  84.5       63
  85.5       60
  86.5       55
  87.5       52
  88.5       53
  89.5       57
  90.5       57
  91.5       52
  92.5       66
  93.5       62
  94.5       36
  95.5       50
  96.5       38
  97.5       24
  98.5       17
  99.5        5
